Timestamp,AlertTitle,Category,MitreTechniques,EntityType,EvidenceRole,DeviceName,OSFamily,OSVersion,IpAddress,AccountName,ThreatFamily,SuspicionLevel,LastVerdict,CountryCode,IncidentGrade,Hour,DayOfWeek
2024-06-04 22:56:27+00:00,563,LateralMovement,T1021;T1047;T1105;T1569.002,User,Impacted,153085,5,66,360606,863,Unknown,Suspicious,Suspicious,242,BenignPositive,22,1
2024-06-03 12:58:26+00:00,2,CommandAndControl,Unknown,Machine,Impacted,2833,0,0,360606,453297,Unknown,Suspicious,Suspicious,242,BenignPositive,12,0
2024-06-08 03:20:49+00:00,10807,LateralMovement,T1021;T1027.002;T1027.005;T1105,Process,Related,153085,5,66,360606,453297,Unknown,Suspicious,Suspicious,242,BenignPositive,3,5
2024-06-12 12:07:31+00:00,0,InitialAccess,T1078;T1078.004,CloudLogonSession,Related,153085,5,66,360606,453297,Unknown,Unknown,Unknown,242,FalsePositive,12,2
2024-06-06 17:42:05+00:00,18,Discovery,T1087;T1087.002,User,Impacted,153085,5,66,360606,136104,Unknown,Unknown,Unknown,242,BenignPositive,17,3
2024-06-06 08:10:50+00:00,0,InitialAccess,T1078;T1078.004,User,Impacted,153085,5,66,360606,2696,Unknown,Unknown,Unknown,242,TruePositive,8,3
2024-06-15 04:06:55+00:00,4,SuspiciousActivity,Unknown,Machine,Impacted,1794,5,66,360606,453297,Unknown,Suspicious,Suspicious,242,BenignPositive,4,5
2024-05-26 11:48:38+00:00,1265,Impact,Unknown,Ip,Related,153085,5,66,10862,453297,Unknown,Unknown,Unknown,242,BenignPositive,11,6
2024-05-25 17:57:20+00:00,528,Impact,Unknown,Ip,Related,153085,5,66,128,453297,Unknown,Unknown,Unknown,242,FalsePositive,17,5
2024-06-02 05:46:22+00:00,53,Impact,Unknown,Ip,Related,153085,5,66,473,453297,Unknown,Unknown,Unknown,242,BenignPositive,5,6
2024-06-12 17:26:23+00:00,15,InitialAccess,Unknown,User,Impacted,153085,5,66,360606,16899,Unknown,Unknown,Unknown,242,TruePositive,17,2
2024-06-05 12:42:16+00:00,2083,CredentialAccess,T1111;T1557,Ip,Related,153085,5,66,194296,453297,Unknown,Suspicious,Suspicious,242,TruePositive,12,2
2024-06-07 20:25:10+00:00,27,Exfiltration,Unknown,File,Impacted,153085,5,66,360606,453297,Unknown,Unknown,Unknown,242,BenignPositive,20,4
2024-06-10 22:46:43+00:00,5,InitialAccess,T1566,User,Impacted,153085,5,66,360606,140,Unknown,Unknown,Unknown,242,TruePositive,22,0
2024-06-03 20:26:20+00:00,13740,Exfiltration,Unknown,File,Impacted,153085,5,66,360606,453297,Unknown,Unknown,Unknown,242,FalsePositive,20,0
2024-05-25 20:41:43+00:00,412,Impact,Unknown,Ip,Related,153085,5,66,5086,453297,Unknown,Unknown,Unknown,242,BenignPositive,20,5
2024-06-10 21:04:12+00:00,3938,Exfiltration,Unknown,Ip,Related,153085,5,66,14718,453297,Unknown,Unknown,Unknown,242,FalsePositive,21,0
